1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
-5.363615022069467	-5.217513783431798	-5.463788532668498	-5.441973042728182	-5.495976733910841	-5.44435251487894	-5.493540767678441	-5.402140455200246	-5.283720065136981	-5.451392863996616	-5.523656511572243	-5.303099749443607	-5.327025414685481	-5.0972648597199415	-5.137103967453335	-5.306903136356253	-5.426448124942227	-5.284620730769363	-5.265287660459699	-5.40124394395428
-3.8116770267338795	-14.710076165321393	-5.506338594281513	-11.86282252458603	-5.1094620180195305	-3.828501236339865	-3.830405643039019	-3.9156241566249896	-4.826737425689045	-5.46698537058382	-5.517180648018899	-5.991609981874809	-5.990948426517781	-6.619253393413577	-5.125184276890922	-12.842678018785525	-6.372883294114242	-6.628157175824943	-4.875965691191597	-11.266487549849906
-4.059807091449047	-3.2772096209419885	-3.2454811467978653	-15.541840873431678	-13.16154299353656	-5.519090149022387	-7.05490079713964	-17.458478105261513	-11.218107997660194	-3.519470211662827	-4.395970227652199	-4.321029122552065	-3.240054162523827	-5.773343594293287	-11.206270765064007	-3.389751886996577	-5.390801585039528	-9.714557130835539	-11.221080437438419	-4.602158633686588
-3.511650741647233	-3.6622471037628737	-4.9897218394124705	-7.551108787689547	-3.3656382587447604	-13.355435434994877	-3.7066821534185808	-4.876810498042281	-4.875270632558489	-3.4597194940942693	-3.3810020723813246	-3.5030225830032533	-3.2064099722400012	-3.672291487767203	-4.620506232213264	-4.32972021759958	-3.5063574824921293	-4.664817646904735	-10.449984755539784	-4.3548532602360766
-4.734696662535986	-7.779079497948059	-3.674628179638292	-3.360395633500713	-10.27366188574243	-5.90368292804409	-3.5961442721361276	-8.764000150525195	-3.317157002394345	-4.047441417135119	-3.933298986413069	-5.113145573238491	-3.2190724375387285	-6.64662797532046	-9.45647552375102	-7.490667428104983	-4.835680418408604	-5.800531386403229	-3.8403882945271937	-10.477410408942808
-4.690517486257057	-4.471466528544337	-3.9605865282255053	-3.6525938700759273	-4.979518331144099	-3.167755867637166	-3.2219027579172375	-4.7779096573376725	-5.199806883912969	-3.805469493424771	-7.6615993342296225	-5.30817230462984	-3.9678324111660457	-3.067590968407141	-5.65871195689443	-4.994033837033635	-7.521580254578801	-3.6625067065424304	-7.718897385211001	-4.298893055020624
-5.093670885746376	-11.729304750919828	-3.975878411819333	-4.678774554597011	-3.123661191897469	-3.808540459748034	-5.799414369217888	-3.105279724142254	-4.056203176904495	-6.1408970647905	-3.355615643559892	-4.650937720718481	-4.3761526043367915	-4.768232562032236	-5.017578434427073	-5.632033211303546	-4.036490124226265	-5.96758649573061	-4.060616040518702	-6.0830777554822735
-4.601548055042549	-3.673691362902696	-3.234807742234193	-4.5621294100031005	-5.175247394777958	-4.938701674451113	-3.424806565993782	-3.32087287093296	-3.4930268638833093	-3.803555451748057	-4.94813331580689	-7.097839676243167	-3.8703558152697406	-4.736111539187565	-4.450766113915314	-4.299655032627356	-6.018502232565303	-3.2224496371109943	-5.372655301699027	-3.398379426433557
-3.115227204170008	-6.838942947601403	-4.406535547959208	-5.779058881578083	-10.273345699472396	-8.4092243044465	-4.006635937489516	-6.476017898367307	-22.607195933857252	-3.8667763290755692	-5.361427595902431	-3.585356641400227	-3.301992681681721	-3.399443086826226	-5.26975906964373	-3.872483325567589	-13.108192098590408	-6.493570736618409	-5.53297237825646	-5.76733894112272
-3.520897331151893	-4.924484083443867	-4.935241745670904	-7.418089429513092	-6.318484231029955	-5.803736054060263	-3.5106387223323496	-4.559069263192659	-13.077684009734359	-6.681307093231447	-4.014201470805094	-6.850927400605794	-4.084213679529743	-5.310719080137137	-5.6528756200804064	-26.34052655673384	-4.792108625138495	-16.494927067424186	-17.506270780375033	-5.227259895254712
