1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
-4.969544672863042	-4.797992471524054	-5.0461355855922685	-5.01365873175701	-5.191304892722278	-5.151738369690885	-5.130484529809425	-5.0762103553465066	-4.785649188205929	-5.079510458222426	-5.084043641788463	-4.831946966314268	-4.865151331492783	-4.656553806560714	-4.578261996489876	-4.93703091603386	-5.0621580511512825	-4.8247087647689355	-4.810931478432803	-4.902375310690897
-3.675662063816037	-12.462402259403381	-5.196712379170598	-11.437554935693802	-4.925900171656576	-3.762873123104324	-3.77895320440184	-3.8989837198969584	-4.201848760659726	-5.110803864837326	-5.160458125081433	-5.815254388193713	-5.540556086737635	-6.381549407351335	-4.711882758831703	-12.588630876826425	-6.22249875044583	-5.842544376737168	-4.544739436410542	-10.494901807836502
-3.997689468901899	-3.221432925158923	-3.232387265186831	-12.668058171790104	-11.861346937428651	-5.249319727962334	-6.732861032506316	-16.261844758582406	-10.500194426685326	-3.5788002698254653	-4.365212613312394	-4.272836734534994	-3.194237165171982	-5.569524962897629	-11.450055485223636	-3.4341880657502353	-5.1304943180505855	-10.029976196809576	-10.786887116612364	-4.380438184423543
-3.5110361220182478	-3.479605381819174	-4.509357729264642	-7.670826513650937	-3.3801838304532206	-13.14976505534597	-3.6803848952711187	-4.705400601737925	-4.474246375791167	-3.455746376641083	-3.5202586264388733	-3.5273325015063843	-3.2459146111853485	-3.6953125922863475	-4.436548301057359	-4.247630454027438	-3.613420633450308	-4.522541833476771	-10.012913208984942	-4.138209027499042
-4.547034176574153	-6.7617037275713825	-3.7799697514165445	-3.367940431601906	-10.044998507575407	-5.812968951616776	-3.6467726845843957	-8.57981853827794	-3.2944846626036073	-3.9757350471918027	-3.862772437968241	-4.914442878824978	-3.1624849986506707	-6.2618483098830175	-9.648805383600356	-7.539600641183965	-4.652730609722731	-5.325738259333036	-3.8215006850442244	-9.96512980105283
-4.501862667740482	-4.398560584681406	-3.9991178142880335	-3.724143420578657	-4.643067885847671	-3.181665298978295	-3.3507520181112094	-4.724120179417621	-4.783431876524946	-3.851621444631446	-7.264421133756521	-5.020274022583223	-3.9716599037134417	-3.1231907141355943	-5.608336395619127	-4.816719270366088	-7.576466460564976	-3.8194324019779815	-7.274081422082817	-4.427658315597094
-4.8137170602471775	-10.89993334959319	-4.015101162982101	-4.499339669467528	-3.2972227896480852	-3.7684372491332354	-5.244475237894504	-3.2174045620703584	-3.9132574423654365	-5.894420016738212	-3.3619427669525654	-4.399563132061833	-4.267594155645979	-4.731138725481196	-4.763128166465069	-5.834646202824177	-4.029727153364382	-5.78584295712489	-4.1895163341853605	-6.074096453800335
-4.490088034799528	-3.4611897933109974	-3.3870535847351757	-4.4795708537240735	-4.835024453307333	-4.826133542379071	-3.4129265716778745	-3.4496375312945533	-3.4149779748045352	-3.7412567495797937	-4.797548233502342	-6.934898352806017	-3.8552792760677104	-4.613985558979029	-4.493421794581104	-4.2782045411607035	-5.924801580377357	-3.3390965553396965	-5.085565193459722	-3.4723639720753434
-3.263184351531198	-6.66447119362188	-4.217777925191214	-5.095031042855238	-10.074008378475186	-7.689352849847625	-3.86819469819829	-5.837897252425243	-23.891080538084108	-3.840680541131242	-5.152877531858247	-3.620303227334115	-3.2746201934146795	-3.4011112577903706	-5.441945614759736	-3.832780593695972	-13.311552224217683	-5.8637589678443405	-5.387813629977357	-4.955620286306608
-3.596128672047773	-4.715914757818876	-4.695756537784718	-7.080318698554782	-5.783318825238954	-5.468681658634975	-3.514956173421477	-4.371893474137948	-12.53354896798503	-5.827469541074895	-3.873528091259005	-6.322783633024538	-4.011514296169803	-4.779529164381845	-5.447654311802383	-22.52604764189792	-4.671870178087096	-16.509671245685507	-18.348759367529173	-4.93303842624334
