Discretization	diffusion	R2
10.0	0.0	-0.12009653772920936
10.0	5.0	-0.14054124488914588
10.0	75.0	-0.12129493255241397
10.0	1.0	-0.1329741618413114
28.0	0.0	-0.12779542935658172
28.0	5.0	-0.12595766107131112
28.0	75.0	-0.12342960683992277
28.0	1.0	-0.03155145779524782
46.0	0.0	-0.10529910716675128
46.0	5.0	-0.12353968008794158
46.0	75.0	-0.122281240130107
46.0	1.0	-0.12382405112761607
