Discretization	Diffusion	R2	diffusion
10.0		-0.12310904418835	0.0
10.0		-0.12492502239788128	5.0
10.0		-0.12328653610645679	75.0
10.0		-0.13014802555493965	1.0
28.0		-0.1709342562217362	0.0
28.0		-0.13347128126845975	5.0
28.0		-0.17571086314262518	75.0
28.0		-0.12397117032708405	1.0
46.0		-0.12353330263098083	0.0
46.0		-0.12364406887324586	5.0
46.0		-0.1297992823672025	75.0
46.0		-0.12367147027693326	1.0
