Discretization	diffusion	R2
46.0	0.0	0.10807860798762581
46.0	5.0	0.151941893265794
46.0	75.0	0.15043096398973954
46.0	1.0	0.8237008282132194
28.0	0.0	0.3344151920481082
28.0	5.0	0.16878208581755838
28.0	75.0	0.6255221294627351
28.0	1.0	0.08844143237786017
10.0	0.0	0.21613794704287836
10.0	5.0	0.18449731217329446
10.0	75.0	0.1459326318752876
10.0	1.0	0.15915122384721792
