Discretization	diffusion	MSE
10.0	0.0	0.12679356938832106
10.0	5.0	0.12910788543929527
10.0	75.0	0.126929226228649
10.0	1.0	0.12825130081718947
28.0	0.0	0.1276650745817461
28.0	5.0	0.1274570414410755
28.0	75.0	0.12717086876862457
28.0	1.0	0.11677037374541538
46.0	0.0	0.1251185181980071
46.0	5.0	0.1271833289267809
46.0	75.0	0.1270408750500479
46.0	1.0	0.1272155193835286
