Discretization	diffusion	MSE
46.0	0.0	0.09146506654675578
46.0	5.0	0.027558897402370254
46.0	75.0	0.01637367848005124
46.0	1.0	0.08812835853558171
28.0	0.0	0.07972971603074425
28.0	5.0	0.08657935514012248
28.0	75.0	0.030572727898209365
28.0	1.0	0.0362391479705995
10.0	0.0	0.06725965189691578
10.0	5.0	0.09529854002401363
10.0	75.0	0.07404321172866653
10.0	1.0	0.09194900825656635
