Discretization	diffusion	R2
46.0	0.0	0.19199605424445532
46.0	5.0	0.7565442339627618
46.0	75.0	0.8553546472122113
46.0	1.0	0.22147258928294
28.0	0.0	0.2956663393025709
28.0	5.0	0.23515651149251926
28.0	75.0	0.7299200043588665
28.0	1.0	0.6798627535454187
10.0	0.0	0.40582709689418595
10.0	5.0	0.15813108467172576
10.0	75.0	0.3459010145409682
10.0	1.0	0.18772090499014693
