Discretization	diffusion	MSE
46.0	0.0	0.006075658480876802
46.0	5.0	0.014906698774450902
46.0	75.0	0.005857852731626724
46.0	1.0	0.0904210532989096
28.0	0.0	0.02050501276991593
28.0	5.0	0.08100383389967913
28.0	75.0	0.0027788575391388477
28.0	1.0	0.0025518849182247123
10.0	0.0	0.013910527479092782
10.0	5.0	0.06140100062251668
10.0	75.0	0.04694410859657966
10.0	1.0	0.039366850176219714
