timestamp,grimm_PM10,grimm_PM2.5,grimm_PM1,grimm_Feuchte,grimm_Temperatur,grimm_#Drying,grimm_TC,grimm_#DC_v,grimm_#DC_d,grimm_#DC_h,grimm_#C0_h,grimm_#C0_d,grimm_#La_l,grimm_#La_h,grimm_#Serv.,grimm_#Year,grimm_#Month,grimm_#Day,grimm_#Hour,grimm_#Min,grimm_#Loc,grimm_#GF,grimm_#P-Err,grimm_#Qbatt,grimm_#Im,grimm_#UeL,grimm_#Ue4,grimm_#Ue3,grimm_#Ue2,grimm_#Ue1,grimm_#IvP,grimm_#Var4,grimm_#Var3,B03_Bin0,B03_Temp OPC,B03_RH OPC,B03_PM1,B03_PM2.5,B03_PM10,B03_NO2 WE,B03_NO2 AE,B03_Temp HYT,B03_RH HYT,B03_DryerOn,B05_Bin0,B05_Temp OPC,B05_RH OPC,B05_PM1,B05_PM2.5,B05_PM10,B05_NO2 WE,B05_NO2 AE,B05_Temp HYT,B05_RH HYT,B05_DryerOn,B06_Bin0,B06_Temp OPC,B06_RH OPC,B06_PM1,B06_PM2.5,B06_PM10,B06_NO2 WE,B06_NO2 AE,B06_Temp HYT,B06_RH HYT,B06_DryerOn,SDS011_PM10,SDS011_PM2.5
2020-05-28 16:06:00,6.11667,3.63333,2.45833,30.2001,22.9139,0.0,0.0,689.0,956.0,1692.0,2.0,0.0,33.0,72.0,16.0,20.0,5.0,28.0,15.0,54.0,1.0,100.0,0.0,130.0,44.0,86.0,192.0,0.0,65.0,129.0,0.0,995.535,0.0,64.57302656292397,34.54912954184225,19.11324327763058,1.1108888782270325,2.52925454838585,13.299738583241277,30096.40878112524,28439.799964993163,22.571481398880675,28.877114522138033,-1.2321e-319,6.337970188159343,33.80016072674053,22.92310797222332,0.6772248547444633,2.6642997095510674,12.920722522969054,28369.41299752731,28038.058522062776,22.80501748310303,30.845628824680063,0.0,26.47089940785343,33.7531646370994,23.98687023641022,1.0052523350102136,2.929034951437987,17.893909137373825,28269.822785126264,28625.610178493498,22.92000038738965,28.011508026019328,-9.168e-320,4.118,3.306
2020-05-28 16:07:00,13.55,3.275,2.60833,30.2001,22.9139,0.0,0.0,689.0,956.0,1692.0,2.0,0.0,33.0,72.0,16.0,20.0,5.0,28.0,15.0,55.0,1.0,100.0,0.0,130.0,44.0,86.0,192.0,0.0,65.0,129.0,0.0,995.535,0.0,134.61048748346582,34.55990529737283,19.098399908476832,2.03850591740426,3.591621994761878,10.596448576427314,30474.716127111344,28379.436311676825,22.585125886272788,28.966778858945407,2.714e-320,27.372515605002768,33.81359371035046,22.915484512109504,1.3969491153467724,3.950536753902857,16.755643604466258,28700.943673895345,28001.822355426164,22.81747862844987,31.09105146594844,0.0,97.61091239888387,33.77168338576864,23.949259774537712,2.114734727765143,4.484304347661033,16.658260485571525,28654.48172475859,28605.592678343583,22.935656535069093,28.11030092149316,-2.12e-321,5.388181818181819,3.3336363636363635
2020-05-28 16:08:00,5.225,4.5,3.75,30.0834,22.9139,0.0,0.0,689.0,956.0,1692.0,2.0,0.0,33.0,72.0,16.0,20.0,5.0,28.0,15.0,56.0,1.0,100.0,0.0,130.0,44.0,66.0,192.0,0.0,65.0,129.0,0.0,995.535,0.0,290.73719846841107,34.575957886345144,19.092334136414056,3.91422449478857,5.204900688443775,12.285274059632918,30244.662507311303,28400.66968448016,22.599436366358834,29.39202224696524,1.7994e-320,40.944371953447344,33.816862300500745,22.924559067585193,2.0364683682807088,4.560427919728552,11.169668978828824,28263.066569512703,27993.29762711692,22.825960408636647,31.170464144524203,0.0,174.9724856170304,33.77860225690461,23.960053558444237,3.2419816626396045,5.492112513265524,13.6955098594019,28010.850291456954,28602.019786729677,22.948574408925378,28.22145245764263,1.9506e-320,10.398,7.507
2020-05-28 16:09:00,6.04167,3.925,3.14167,30.4335,22.9139,0.0,0.0,689.0,956.0,1692.0,2.0,0.0,33.0,72.0,16.0,20.0,5.0,28.0,15.0,57.0,1.0,100.0,0.0,130.0,44.0,94.0,192.0,0.0,65.0,129.0,0.0,995.535,0.0,118.71469999144597,34.58844330297556,19.068339935395013,1.8454005869384327,3.064446797118789,9.635514297919876,29870.80251681623,28398.17999071153,22.62089173081629,28.445073150422576,-4.674e-320,11.371401555036472,33.82999976361649,22.854177019139513,0.9194870820960928,2.904568670290837,9.737022706571896,28116.27041281128,28018.8759269152,22.837390904691475,30.331054058076454,0.0,58.369449933054796,33.79100976717053,23.907696375231787,1.4089911984525645,3.5705519932262817,12.055214505779016,27999.014842793124,28605.827290896366,22.954578052163416,27.22045279691512,1.068e-320,8.526,5.811
2020-05-28 16:10:00,4.40833,2.90833,2.325,30.0834,23.0096,0.0,0.0,689.0,956.0,1692.0,2.0,0.0,33.0,72.0,16.0,20.0,5.0,28.0,15.0,58.0,1.0,100.0,0.0,130.0,44.0,83.0,192.0,0.0,65.0,129.0,0.0,995.535,0.0,72.8094406380932,34.601542548191624,19.066193201875826,1.286745722408542,2.45021697223397,5.825403673859119,30070.269643675714,28415.196889153503,22.64204835132291,28.573689156818546,2.306e-320,7.675931636610253,33.848263624474626,22.878040039512126,0.8909604184904389,3.1013188282533672,12.187802634227532,28410.710047113596,28020.915184423386,22.85282945414395,30.818917311790475,0.0,37.029169750135054,33.80190965913643,23.896072326415,1.171514117169674,3.411806631365975,11.5270991910041,28512.70621042075,28608.98674156591,22.970472472837912,27.57258148384997,5.521e-320,3.699,2.863
2020-05-28 16:11:00,4.79167,3.19167,2.33333,29.9666,23.0096,0.0,0.0,689.0,956.0,1692.0,2.0,0.0,33.0,72.0,16.0,20.0,5.0,28.0,15.0,59.0,1.0,100.0,0.0,130.0,44.0,95.0,192.0,0.0,64.0,129.0,0.0,995.535,0.0,68.61132794141234,34.61969315630423,19.069870488122394,1.2296013651411375,2.512072503176787,10.094053602559644,30177.246755853135,28430.2130230836,22.658285550363285,29.198848273112535,1.1e-320,7.130167308123162,33.86162643195162,22.94228061131229,0.79637970263725,2.9105291235106527,9.325881667048408,28364.481725799298,28001.020662646908,22.86231814265846,31.47438647752032,0.0,35.52323525468275,33.81905175402113,23.944078355037796,1.0357268049244517,3.082708820857226,10.528975958668513,28355.883744331826,28649.707008150777,22.992519236269892,28.37298519510825,1.238e-320,4.775,2.921
2020-05-28 16:12:00,4.475,3.2,2.3,30.4335,23.0096,0.0,0.0,689.0,956.0,1692.0,2.0,0.0,33.0,72.0,16.0,20.0,5.0,28.0,16.0,0.0,1.0,100.0,0.0,130.0,44.0,95.0,192.0,0.0,65.0,129.0,0.0,995.535,0.0,95.82778979552677,34.629824571835044,19.053618207419508,1.593342951223242,3.135765027800272,9.600127894463343,30198.668253549524,28396.223503203128,22.6878744125506,29.669388339692844,-4.869e-320,12.366826354125003,33.87536158694718,22.93882300480209,0.8205635294503222,2.768705307683135,8.865385418593242,28317.86614773257,28027.19001346328,22.88042665113484,31.446906646104953,0.0,42.460933706894885,33.82827634749471,23.947897455314695,1.3067572782633514,3.6053507956609905,13.076349915720968,28143.58962946008,28586.62267893123,22.992949917378482,28.338527596740306,-1.02123e-319,3.212,2.806
2020-05-28 16:13:00,5.73333,3.525,2.525,30.6669,23.0096,0.0,0.0,689.0,956.0,1692.0,2.0,0.0,33.0,72.0,16.0,20.0,5.0,28.0,16.0,1.0,1.0,100.0,0.0,130.0,44.0,87.0,192.0,0.0,66.0,129.0,0.0,995.535,0.0,79.39679622806733,34.64856048164719,19.070212721401134,1.3672705952567776,2.7267196346548013,8.645240595183475,30050.591548625445,28404.17064834752,22.70732233230811,29.253312186546594,-5.859e-320,9.368193134632653,33.8805831342441,22.93863503089439,0.7794059633909529,2.832171040409177,12.589826369690403,28512.262982454726,28009.111150472927,22.895839775815524,31.095816580981058,0.0,39.632109775881716,33.84809395456246,23.9366305963489,1.1825700263582584,3.20844545073301,13.235533026605376,28431.36876167956,28612.275243761633,23.009519739996158,28.62782469059448,-1.5776e-320,7.33,3.654
2020-05-28 16:14:00,4.075,2.58333,2.28333,30.7836,23.0096,0.0,0.0,689.0,956.0,1692.0,2.0,0.0,33.0,72.0,16.0,20.0,5.0,28.0,16.0,2.0,1.0,100.0,0.0,130.0,44.0,91.0,192.0,0.0,66.0,129.0,0.0,995.535,0.0,68.96065801089848,34.66333108106128,19.041769549955372,1.2327625913419324,2.5640118054566865,9.391933092562429,29830.570923417752,28373.87927992215,22.690368641162337,28.531053210972253,4.455e-320,8.372882192256036,33.90284343085059,22.90072046939349,0.7572869655267652,2.769141960503619,9.901657748753749,28088.558511126634,27980.162738047566,22.898809150587972,30.568865128373083,0.0,33.195033954162305,33.86107234628468,23.92183955087419,1.0654900335920936,2.868715493583931,8.563497258703475,28036.681052680116,28602.234774795215,23.03154398464221,28.06667800530764,-2.609e-320,4.106,3.016
2020-05-28 16:15:00,4.38333,2.94167,2.23333,30.5502,23.0096,0.0,0.0,689.0,956.0,1692.0,2.0,0.0,33.0,72.0,16.0,20.0,5.0,28.0,16.0,3.0,1.0,100.0,0.0,130.0,44.0,83.0,192.0,0.0,66.0,129.0,0.0,995.535,0.0,71.83239422809704,34.673805995812074,19.02213066075016,1.2163985048805441,2.339577962136786,9.837106469990108,29840.24058192673,28409.625081020455,22.68045868848644,28.402409433797622,-5.1946e-320,7.904324733030141,33.92006760795118,22.852058131487873,0.7164673512600725,2.7633095019458884,13.855338854738413,28197.516727494658,28027.652578370245,22.90135668430576,30.919670015592878,0.0,33.27889854684663,33.86759265543434,23.877103615028844,1.0625162909523949,3.0675680730199613,12.582480066060498,28038.99813952264,28593.269573969126,23.036530630763092,27.66069993384356,5.108e-320,5.0600000000000005,3.12
