0.000000000000000000e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,1.000000000000000000e+00
2.500000000000000000e-01,5.657587890624999893e-01,4.026992187500000320e-01,4.229960937500000240e-01,1.000000000000000000e+00
5.000000000000000000e-01,6.514857623860428326e-01,3.290463725548518070e-01,3.555129799421860026e-01,1.000000000000000000e+00
7.500000000000000000e-01,7.601784671949320948e-01,2.732977211672765749e-01,2.978933438974784020e-01,1.000000000000000000e+00
1.000000000000000000e+00,8.954333218597441135e-01,2.312846992564367155e-01,2.496305022439559984e-01,1.000000000000000000e+00
1.250000000000000000e+00,1.061264712694667933e+00,2.000138352033132561e-01,2.098014204522925530e-01,1.000000000000000000e+00
1.500000000000000000e+00,1.261832606704715865e+00,1.773832061469959032e-01,1.773351481203815361e-01,1.000000000000000000e+00
1.750000000000000000e+00,1.501032884893368058e+00,1.619975580188072750e-01,1.511682077219064224e-01,1.000000000000000000e+00
2.000000000000000000e+00,1.781913017133041510e+00,1.530686515474324050e-01,1.303273160852140566e-01,1.000000000000000000e+00
2.250000000000000000e+00,2.105895030676351976e+00,1.503979419332708567e-01,1.139680016699639309e-01,1.000000000000000000e+00
2.500000000000000000e+00,2.471820190950952512e+00,1.544538911357509758e-01,1.013882505453580218e-01,1.000000000000000000e+00
2.750000000000000000e+00,2.874868937938829472e+00,1.665778923676787537e-01,9.202970932186771424e-02,1.000000000000000000e+00
3.000000000000000000e+00,3.305434783036515167e+00,1.893843841140042117e-01,8.547485107621741185e-02,1.000000000000000000e+00
3.250000000000000000e+00,3.748008559533602568e+00,2.274636770683651776e-01,8.144650858007991545e-02,1.000000000000000000e+00
3.500000000000000000e+00,4.180034387889373093e+00,2.885371411408384490e-01,7.981626046513298767e-02,1.000000000000000000e+00
3.750000000000000000e+00,4.570574943865936213e+00,3.851856662419416710e-01,8.063082306755335604e-02,1.000000000000000000e+00
4.000000000000000000e+00,4.878713045998126496e+00,5.369446598875328158e-01,8.417196320289269118e-02,1.000000000000000000e+00
4.250000000000000000e+00,5.052566320367275488e+00,7.713498124888225060e-01,9.107636928115003805e-02,1.000000000000000000e+00
4.500000000000000000e+00,5.032679406242010600e+00,1.119525590873450049e+00,1.025531269370299620e-01,1.000000000000000000e+00
4.750000000000000000e+00,4.768224315948628167e+00,1.597883623116313156e+00,1.207211775120872188e-01,1.000000000000000000e+00
5.000000000000000000e+00,4.253074006586621714e+00,2.171731196300080047e+00,1.489613723724549366e-01,1.000000000000000000e+00
5.250000000000000000e+00,3.563025106227823091e+00,2.727542690720537788e+00,1.918055276002334497e-01,1.000000000000000000e+00
