Discretization	Diffusion	MSE	R2	diffusion
10.0			0.12472818811217014	0.0
10.0			0.1306322508135301	5.0
10.0			0.12788066568171164	75.0
10.0			0.12592327268259398	1.0
28.0			0.13536862108318076	0.0
28.0			0.11605016298947353	5.0
28.0			0.006148658207940768	75.0
28.0			0.11917579933440373	1.0
46.0			0.12581083613046806	0.0
46.0			0.11376695449002766	5.0
46.0			0.11738013776386244	75.0
46.0			0.11575524544461915	1.0
