Discretization	Diffusion	R2	diffusion
10.0		-0.0004581421492739768	0.0
10.0		-0.050000891679599535	5.0
10.0		-0.002405743091410839	75.0
10.0		-0.0364617147486177	1.0
28.0		-0.08616030240539851	0.0
28.0		-0.024657962582673942	5.0
28.0		0.9477051208727613	75.0
28.0		-0.00786211241373902	1.0
46.0		-0.009862252363768809	0.0
46.0		-4.687151443238946e-05	5.0
46.0		0.003464386637336392	75.0
46.0		-2.602772926296737e-06	1.0
