Discretization	diffusion	MSE
46.0	0.0	0.17775381267608417
46.0	5.0	0.20269792540363096
46.0	75.0	0.18732230961225396
46.0	1.0	0.28624147213543205
28.0	0.0	0.1872731141646672
28.0	5.0	0.15101949813698246
28.0	75.0	0.3113483845086096
28.0	1.0	0.11973873331011095
10.0	0.0	0.24683916923396282
10.0	5.0	0.12877414404774895
10.0	75.0	0.1902974358876714
10.0	1.0	0.12567651906521424
