0.000000000000000000e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,1.000000000000000000e+00
2.000000000000000042e-02,5.045570784999999780e-01,4.911016220000000154e-01,4.935244839999999855e-01,1.000000000000000000e+00
4.000000000000000083e-02,5.092286329567671244e-01,4.824025277649429122e-01,4.870989715922103835e-01,1.000000000000000000e+00
5.999999999999999778e-02,5.140156765696949348e-01,4.738981249907676663e-01,4.807248670606779628e-01,1.000000000000000000e+00
8.000000000000000167e-02,5.189192577646553062e-01,4.655839315164510550e-01,4.744034801841449100e-01,1.000000000000000000e+00
1.000000000000000056e-01,5.239404596900554267e-01,4.574555731636824607e-01,4.681360294910774100e-01,1.000000000000000000e+00
1.199999999999999956e-01,5.290803997274519110e-01,4.495087815806363407e-01,4.619236454604555009e-01,1.000000000000000000e+00
1.400000000000000133e-01,5.343402290152586831e-01,4.417393920935829832e-01,4.557673736656323027e-01,1.000000000000000000e+00
1.600000000000000033e-01,5.397211319841246357e-01,4.341433415697436016e-01,4.496681778589343148e-01,1.000000000000000000e+00
1.799999999999999933e-01,5.452243259025963962e-01,4.267166662944831268e-01,4.436269429950130960e-01,1.000000000000000000e+00
2.000000000000000111e-01,5.508510604317133907e-01,4.194554998656425115e-01,4.376444781912736670e-01,1.000000000000000000e+00
2.200000000000000011e-01,5.566026171872161532e-01,4.123560711075389684e-01,4.317215196239959640e-01,1.000000000000000000e+00
2.399999999999999911e-01,5.624803093080771310e-01,4.054147020069076568e-01,4.258587333590364010e-01,1.000000000000000000e+00
2.600000000000000089e-01,5.684854810300901118e-01,3.986278056728220776e-01,4.200567181162446206e-01,1.000000000000000000e+00
2.800000000000000266e-01,5.746195072632804823e-01,3.919918843224090566e-01,4.143160079669609974e-01,1.000000000000000000e+00
2.999999999999999889e-01,5.808837931719184056e-01,3.855035272939690283e-01,4.086370749641717870e-01,1.000000000000000000e+00
3.200000000000000067e-01,5.872797737559416476e-01,3.791594090889222057e-01,4.030203317050912171e-01,1.000000000000000000e+00
3.400000000000000244e-01,5.938089134326089980e-01,3.729562874438247522e-01,3.974661338261187282e-01,1.000000000000000000e+00
3.599999999999999867e-01,6.004727056172272093e-01,3.668910014335347025e-01,3.919747824302801664e-01,1.000000000000000000e+00
3.800000000000000044e-01,6.072726723018058159e-01,3.609604696064577789e-01,3.865465264474093332e-01,1.000000000000000000e+00
4.000000000000000222e-01,6.142103636305115133e-01,3.551616881526623026e-01,3.811815649274601925e-01,1.000000000000000000e+00
4.199999999999999845e-01,6.212873574708031033e-01,3.494917291055246178e-01,3.758800492674605476e-01,1.000000000000000000e+00
4.400000000000000022e-01,6.285052589791434441e-01,3.439477385774481477e-01,3.706420853727268594e-01,1.000000000000000000e+00
4.600000000000000200e-01,6.358657001601913938e-01,3.385269350300897928e-01,3.654677357530576876e-01,1.000000000000000000e+00
4.799999999999999822e-01,6.433703394183872826e-01,3.332266075794289573e-01,3.603570215547106659e-01,1.000000000000000000e+00
5.000000000000000000e-01,6.510208611008543311e-01,3.280441143359220657e-01,3.553099245290448627e-01,1.000000000000000000e+00
5.200000000000000178e-01,6.588189750305436521e-01,3.229768807799031083e-01,3.503263889387796537e-01,1.000000000000000000e+00
5.400000000000000355e-01,6.667664160285586838e-01,3.180223981723145910e-01,3.454063234028805773e-01,1.000000000000000000e+00
5.600000000000000533e-01,6.748649434245986845e-01,3.131782220007844897e-01,3.405496026811355437e-01,1.000000000000000000e+00
5.799999999999999600e-01,6.831163405544667944e-01,3.084419704610028568e-01,3.357560693995293999e-01,1.000000000000000000e+00
5.999999999999999778e-01,6.915224142435927313e-01,3.038113229732942733e-01,3.310255357175632129e-01,1.000000000000000000e+00
6.199999999999999956e-01,7.000849942755221766e-01,2.992840187342334923e-01,3.263577849386969931e-01,1.000000000000000000e+00
6.400000000000000133e-01,7.088059328443299112e-01,2.948578553031047655e-01,3.217525730651212834e-01,1.000000000000000000e+00
6.600000000000000311e-01,7.176871039899164195e-01,2.905306872229658222e-01,3.172096302980834670e-01,1.000000000000000000e+00
6.800000000000000488e-01,7.267304030151486849e-01,2.863004246760410543e-01,3.127286624850121322e-01,1.000000000000000000e+00
7.000000000000000666e-01,7.359377458838101127e-01,2.821650321731374866e-01,3.083093525146939351e-01,1.000000000000000000e+00
7.199999999999999734e-01,7.453110685983266315e-01,2.781225272767488543e-01,3.039513616617657288e-01,1.000000000000000000e+00
7.399999999999999911e-01,7.548523265562359086e-01,2.741709793574900189e-01,2.996543308817893880e-01,1.000000000000000000e+00
7.600000000000000089e-01,7.645634938843725026e-01,2.703085083834823044e-01,2.954178820581768727e-01,1.000000000000000000e+00
7.800000000000000266e-01,7.744465627497404414e-01,2.665332837422942358e-01,2.912416192022314054e-01,1.000000000000000000e+00
8.000000000000000444e-01,7.845035426460494898e-01,2.628435230950269541e-01,2.871251296075656989e-01,1.000000000000000000e+00
8.200000000000000622e-01,7.947364596548927018e-01,2.592374912621220884e-01,2.830679849601509535e-01,1.000000000000000000e+00
8.399999999999999689e-01,8.051473556805469611e-01,2.557134991404610980e-01,2.790697424052398512e-01,1.000000000000000000e+00
8.599999999999999867e-01,8.157382876573799901e-01,2.522699026513178788e-01,2.751299455723959508e-01,1.000000000000000000e+00
8.800000000000000044e-01,8.265113267288525245e-01,2.489051017187221826e-01,2.712481255598484520e-01,1.000000000000000000e+00
9.000000000000000222e-01,8.374685573971077934e-01,2.456175392777885103e-01,2.674238018793750893e-01,1.000000000000000000e+00
9.200000000000000400e-01,8.486120766421457740e-01,2.424057003125646981e-01,2.636564833629005955e-01,1.000000000000000000e+00
9.400000000000000577e-01,8.599439930095849061e-01,2.392681109229551906e-01,2.599456690319800756e-01,1.000000000000000000e+00
9.599999999999999645e-01,8.714664256660203945e-01,2.362033374202767988e-01,2.562908489313173721e-01,1.000000000000000000e+00
9.799999999999999822e-01,8.831815034209958837e-01,2.332099854510085724e-01,2.526915049274488512e-01,1.000000000000000000e+00
1.000000000000000000e+00,8.950913637146116208e-01,2.302866991483029646e-01,2.491471114737033032e-01,1.000000000000000000e+00
1.020000000000000018e+00,9.071981515698042120e-01,2.274321603108323264e-01,2.456571363425257004e-01,1.000000000000000000e+00
1.040000000000000036e+00,9.195040185083398487e-01,2.246450876085524240e-01,2.422210413262324558e-01,1.000000000000000000e+00
1.060000000000000053e+00,9.320111214295764279e-01,2.219242358149736694e-01,2.388382829072421831e-01,1.000000000000000000e+00
1.080000000000000071e+00,9.447216214510609777e-01,2.192683950655407998e-01,2.355083128988042507e-01,1.000000000000000000e+00
1.100000000000000089e+00,9.576376827100434586e-01,2.166763901417327332e-01,2.322305790572236628e-01,1.000000000000000000e+00
1.120000000000000107e+00,9.707614711250016626e-01,2.141470797805059556e-01,2.290045256665584339e-01,1.000000000000000000e+00
1.140000000000000124e+00,9.840951531162899224e-01,2.116793560087174564e-01,2.258295940967416648e-01,1.000000000000000000e+00
1.159999999999999920e+00,9.976408942850406580e-01,2.092721435021768772e-01,2.227052233360577449e-01,1.000000000000000000e+00
1.179999999999999938e+00,1.011400858049467999e+00,2.069243989689911745e-01,2.196308504988785937e-01,1.000000000000000000e+00
