0.000000000000000000e+00,5.000000000000000000e-01,5.000000000000000000e-01,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
1.499999999999999944e-01,6.448151562499999656e-01,4.665598437499999807e-01,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
2.999999999999999889e-01,8.337013544826008538e-01,4.418209562220988262e-01,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
4.499999999999999556e-01,1.079830185702931988e+00,4.265199352461944149e-01,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
5.999999999999999778e-01,1.399877171918902707e+00,4.221981583952775785e-01,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
7.500000000000000000e-01,1.814494386003380422e+00,4.317442331969191804e-01,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
8.999999999999999112e-01,2.348281992316854527e+00,4.604502280395537106e-01,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
1.050000000000000044e+00,3.028353629967033722e+00,5.181611461153080578e-01,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
1.199999999999999956e+00,3.879333723076374696e+00,6.238570670143843699e-01,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
1.349999999999999867e+00,4.909620920893644325e+00,8.158280960645667435e-01,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
1.500000000000000000e+00,6.076883078554439876e+00,1.174657560467287531e+00,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
1.649999999999999911e+00,7.208412412244861400e+00,1.872238465328972978e+00,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
1.799999999999999822e+00,7.855282926161097912e+00,3.246009848596288272e+00,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
1.949999999999999956e+00,7.238457767555495970e+00,5.724839349285236523e+00,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
2.100000000000000089e+00,5.070413028437982916e+00,8.961192891134624361e+00,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
2.250000000000000000e+00,2.813245044138962037e+00,1.109807247251777795e+01,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
2.399999999999999911e+00,1.477851948600554133e+00,1.156208434284909536e+01,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
2.549999999999999822e+00,7.860574503555127768e-01,1.113658942573223953e+01,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
2.699999999999999734e+00,4.336390306804822625e-01,1.033853979576299231e+01,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
2.850000000000000089e+00,2.524635241380324135e-01,9.418401105227673042e+00,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
3.000000000000000000e+00,1.567690704862275963e-01,8.493859358350238864e+00,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
3.149999999999999911e+00,1.042646418053395085e-01,7.617175023878075990e+00,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
3.299999999999999822e+00,7.424422375710254540e-02,6.808938982375019933e+00,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
3.449999999999999734e+00,5.642404094259571151e-02,6.074770694214998379e+00,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
3.599999999999999645e+00,4.555523332678336479e-02,5.413393438862613039e+00,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
3.750000000000000000e+00,3.887071388295830487e-02,4.820502835117850715e+00,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
3.899999999999999911e+00,3.486708267100134540e-02,4.290622729113740874e+00,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
4.049999999999999822e+00,3.271142121327618585e-02,3.817997821947956449e+00,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
4.200000000000000178e+00,3.194485066391706402e-02,3.397019217149703785e+00,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
4.349999999999999645e+00,3.233095153961888790e-02,3.022419345625434239e+00,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
4.500000000000000000e+00,3.377759014393117570e-02,2.689351118710560318e+00,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
4.649999999999999467e+00,3.629783612130318277e-02,2.393408462925299851e+00,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
4.799999999999999822e+00,3.999322297580133051e-02,2.130617407054479884e+00,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
4.950000000000000178e+00,4.505121097942957342e-02,1.897412963603768876e+00,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
5.099999999999999645e+00,5.175314681178472265e-02,1.690609927056955675e+00,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
5.250000000000000000e+00,6.049148284971226502e-02,1.507371983044072605e+00,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
5.399999999999999467e+00,7.179657059168505218e-02,1.345181535351776647e+00,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
5.549999999999999822e+00,8.637449840438835014e-02,1.201811596147461580e+00,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
5.700000000000000178e+00,1.051584783293878084e-01,1.075300539111839315e+00,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
5.849999999999999645e+00,1.293773557902635207e-01,9.639302811592752596e-01,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
6.000000000000000000e+00,1.606460119307321910e-01,8.662084438588669721e-01,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
6.149999999999999467e+00,2.010837971951790482e-01,7.808552298283167881e-01,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
6.299999999999999822e+00,2.534686663042048371e-01,7.067961732016627696e-01,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
6.450000000000000178e+00,3.214362682404411364e-01,6.431627048875301345e-01,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
6.599999999999999645e+00,4.097345685510622171e-01,5.893038570156418077e-01,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
6.750000000000000000e+00,5.245449204530637788e-01,5.448148969381564344e-01,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
6.899999999999999467e+00,6.738782728318133408e-01,5.095931818810220948e-01,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
7.049999999999999822e+00,8.680470146134749987e-01,4.839400019956778265e-01,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
7.199999999999999289e+00,1.120191517783439394e+00,4.687437241039450475e-01,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
7.349999999999999645e+00,1.446789855471802166e+00,4.658131041149656260e-01,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
7.500000000000000000e+00,1.867963929800473322e+00,4.785004653492480609e-01,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
7.649999999999999467e+00,2.407133908176629422e+00,5.129099618401888883e-01,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
7.799999999999999822e+00,3.088974316124322161e+00,5.803397565552036452e-01,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
7.949999999999999289e+00,3.933238717827960862e+00,7.024279973854191672e-01,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
8.099999999999999645e+00,4.938836530967777527e+00,9.223464225705030328e-01,2.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,8.000000000000000444e-01
